Country,Year,Air_pollution_level,CO2_Emissions,Total_waste
Austria,2014,47.61,65.929043300621,238793915.0
Austria,2016,46.57,67.782517711802,261035433.0
Austria,2018,49.53,67.18684314843,279004198.0
Austria,2020,41.67,62.599758257043,290804238.0
Belgium,2014,42.59,97.724460431045,285692548.0
Belgium,2016,39.75,101.26096174159,316732376.0
Belgium,2018,45.17,100.09811768838,339366400.0
Belgium,2020,38.43,92.267020116023,343494285.0
Bulgaria,2014,52.12,47.314847928573,728013162.0
Bulgaria,2016,27.13,47.122418111746,492069736.0
Bulgaria,2018,49.46,46.233112480348,529611350.0
Bulgaria,2020,45.54,39.490882670666,482219603.0
Croatia,2014,71.61,17.674762781443,16755983.0
Croatia,2016,54.96,18.272571513937,23439234.0
Croatia,2018,60.36,17.764369391771,24560648.0
Croatia,2020,47.85,17.246024469602,26875667.0
Cyprus,2014,39.18,6.8161161668171,9210425.0
Cyprus,2016,36.22,7.2206918443075,11556449.0
Cyprus,2018,48.06,7.2127251803848,10177693.0
Cyprus,2020,44.85,6.8014090183176,9610932.0
Czechia,2014,48.28,107.23282184939,109315533.0
Czechia,2016,42.19,109.80823019382,119365238.0
Czechia,2018,48.7,109.33893848782,173015983.0
Czechia,2020,35.0,94.391566702226,175216205.0
Denmark,2014,47.82,36.204293169278,89439180.0
Denmark,2016,40.76,35.706428073214,89072679.0
Denmark,2018,41.5,33.654437432177,91026570.0
Denmark,2020,36.35,27.796718320585,85766870.0
Estonia,2014,39.69,21.920755022137,97143556.0
Estonia,2016,38.89,19.979760746561,116298157.0
Estonia,2018,40.71,22.358837520039,103065537.0
Estonia,2020,36.2,11.480791075621,74165457.0
Finland,2014,34.01,49.437362081696,409079170.0
Finland,2016,29.03,48.803470771176,514322469.0
Finland,2018,29.82,47.434796103201,537089584.0
Finland,2020,23.68,39.46487693094,485682704.0
France,2014,52.65,328.08789180556,1385122629.0
France,2016,52.54,335.76783304551,1381704297.0
France,2018,54.23,328.6301754088,1472364200.0
France,2020,45.94,287.32431788542,1328573371.0
Germany,2014,47.17,779.2231198719,1768811384.0
Germany,2016,46.04,789.71378654619,1814278450.0
Germany,2018,47.03,747.21447650448,1831412715.0
Germany,2020,39.18,642.55204679405,1810920020.0
Greece,2014,65.06,71.004200707434,281434310.0
Greece,2016,67.46,68.156034771857,302266442.0
Greece,2018,56.29,66.582305656799,196536272.0
Greece,2020,48.61,52.372938123386,126183307.0
Hungary,2014,53.23,44.822256321614,77154730.0
Hungary,2016,51.64,48.26644650688,72901992.0
Hungary,2018,50.87,50.907818313292,82965938.0
Hungary,2020,43.59,49.003671285058,77970855.0
Iceland,2014,7.93,3.4646027143024,3620271.0
Iceland,2016,7.67,3.1795967589976,4849524.0
Iceland,2018,7.24,3.3139311532851,5870164.0
Iceland,2020,6.42,3.0289834553674,4813512.0
Ireland,2014,39.6,36.140342203339,73686916.0
Ireland,2016,35.26,39.522146906277,75759631.0
Ireland,2018,43.67,37.169674448142,65843611.0
Ireland,2020,28.39,33.501684981567,76101363.0
Italy,2014,50.4,343.35234512038,763655645.0
Italy,2016,48.16,349.44707067506,793033475.0
Italy,2018,46.07,340.60890433641,831199449.0
Italy,2020,43.64,295.87474755242,838827479.0
Latvia,2014,47.26,7.5717651612803,11594204.0
Latvia,2016,35.87,7.47848707537,8979920.0
Latvia,2018,37.7,8.1059165463773,8310711.0
Latvia,2020,40.19,7.2227933702529,14311849.0
Lithuania,2014,51.98,13.208707699582,31275675.0
Lithuania,2016,43.02,13.516494560197,34232631.0
Lithuania,2018,43.85,14.015943464052,35960041.0
Lithuania,2020,36.38,14.251230631931,33638962.0
Luxembourg,2014,49.08,9.8197892855231,29261428.0
Luxembourg,2016,43.66,9.041289162868,42265261.0
Luxembourg,2018,48.18,9.4687650263332,38056354.0
Luxembourg,2020,37.2,7.9458758154796,38771003.0
Malta,2014,51.9,2.3692575404684,6889581.0
Malta,2016,51.98,1.365344096726,8100820.0
Malta,2018,48.48,1.5672815013262,10345413.0
Malta,2020,44.86,1.6203267425644,14377477.0
Netherlands,2014,48.05,161.78844439318,553523261.0
Netherlands,2016,45.8,170.832094273,605411892.0
Netherlands,2018,47.49,163.02085569684,626319133.0
Netherlands,2020,45.91,141.89011388632,545643253.0
Norway,2014,28.82,46.989814533899,47529781.0
Norway,2016,26.22,47.370664726879,49322154.0
Norway,2018,22.19,46.953722324538,62365815.0
Norway,2020,18.44,44.516142738498,62238946.0
Poland,2014,46.12,302.5461213623,813711645.0
Poland,2016,44.41,316.70493000179,832043915.0
Poland,2018,48.05,329.56444456869,810343833.0
Poland,2020,36.07,296.88214569655,781273690.0
Portugal,2014,46.12,47.822505835295,68683699.0
Portugal,2016,51.75,50.680020285101,70444026.0
Portugal,2018,50.06,51.270681217849,76672799.0
Portugal,2020,48.37,40.92632334515,79923051.0
Romania,2014,41.61,78.979138107851,723547665.0
Romania,2016,48.12,78.694598414174,729426744.0
Romania,2018,45.27,82.989728937558,831935695.0
Romania,2020,44.06,75.70399040271,584170000.0
Slovakia,2014,44.11,33.983767376065,42661878.0
Slovakia,2016,46.45,35.446904132542,51244412.0
Slovakia,2018,39.8,37.210340935852,59491211.0
Slovakia,2020,32.48,32.617188753911,59527723.0
Slovenia,2014,56.83,14.130181136918,22795533.0
Slovenia,2016,57.39,15.025187506529,25654611.0
Slovenia,2018,56.99,15.343323731011,36797953.0
Slovenia,2020,36.2,13.421296532745,33344563.0
Spain,2014,50.12,258.01546865043,508825760.0
Spain,2016,47.03,266.53110569131,584681075.0
Spain,2018,46.66,275.13006053445,627190740.0
Spain,2020,42.48,218.74421833382,492690834.0
Sweden,2014,36.25,42.776473476285,688530273.0
Sweden,2016,27.87,42.629870520558,591007405.0
Sweden,2018,30.79,39.428295326808,579978367.0
Sweden,2020,24.71,37.793958693261,630386869.0
